00	Нет ошибки
01	Неверный номер функции
02	Файл не найден
03	Путь не найден
04	Нет доступного HANDLE (слишком много открытых файлов)
05	Отказанно в доступе
06	Неверный HANDLE
07	MCB повреждён
08	Недостаточно памяти
    Применительно к печати может обозночать, что очередь печать заполнена
09	Неверный адрес блока памяти
0Ah	Неверное окружение
0Bh	Неверный формат
0Ch	Неверный код доступа
    Применительно к файлам означает, что строка с полным именем файла слишком длинная
0Dh	Неверная дата или невереные данные - хрен поймёт этих англоязычных
0Eh	резерв
0Fh	Неверный диск
10h	Нельзя удалить текущую директорию
11h	Не то же самое устройство
12h	Файлов больше нет
13h	Диск защищён от записи
14h	Задан неизвестный идентификатор устройства
15h	Устройство не готово
16h	Неизвестная команда
17h	Ошибка данных (Ошибка CRC)
18h	Неверный размер структуры
19h	Ошибка поиска
1Ah	Неизвестный тип диска
1Bh	Сектор не найден
1Ch	Нет бумаги в принтере
1Dh	Ошибка записи
1Eh	Ошибка чтения
1Fh	Сбой
20h	Ошибка общего доступа
21h	Ошибка блокировки
22h	Неправильная замена диска
23h	FCB не доступен (слишком много FCB уже выделенно)
24h	Общий буфер (sharing buffer) переполнен
25h	Неподходящая кодовая страница
26h	Немогу завершить операцию с файлом
27h	Недостаточно места на диске
28h-31h	Резерв
32h	Сетевой запрос не поддерживается
33h	Удалённый (remote) компьютер нас не слушает
34h	Такое сетевое имя уже существует
35h	Не найдено сетевое имя
36h	Сеть занята
37h	Сетеве устройство больше не существует
38h	network BIOS command limit exceeded
39h	Аппаратная ошибка сетевого адаптера
3Ah	Неверный ответ из сети
3Bh	Неожиданная ошибка сети
3Ch	На том конце провода несовместимый адаптер
3Dh	Очередь печать полная
3Eh	Очередь печать не полная
3Fh	Недостаточно места для печати
40h	Сетевое имя было удалено
41h	Сетевая ошибка доступа
42h	Неверный тип сетевого адаптера/устройства
43h	Сетевое не найдено
44h	network name limit exceeded
45h	network BIOS session limit exceeded
46h	Временно приостановленно
47h	Сетевой запрос отвергнут
48h	Сетевая печать или переадресация диска приостановленна
49h	Сетевое ПО не установленно
4Ah	Неожиданное закрытие адаптера
4Bh - 4Fh	Резерв
50h	Файл уже существует
51h	Дубликат FCB
52h	Немогу создать директорию
53h	Ошибка в INT 14h
54h	Слишком много перенаправлений/нехватка структур
55h	Перенаправление на этот адрес уже было
56h	Неверный пароль
57h	Неверный параметр
58h	Ошибка записи по сети
59h	Сеть не поддерживает эту функци./Нехватает процессорных слотов.
5Ah	Необходимый компонент системы не установлен.
5Bh	Ошибка тайм-сервера.
5Сh	Дубликат в таблице сервиса таймера.
5Dh	Нет элементов для обработки.
5Eh	Неизветно.
5Fh	Прервано/Неверный вызов системы.
60h - 63h	Неивестно.
64h	Достигнут лимит открытых Семафоров.
A0h	Неверные аргументы.

Возможные значения класса ошибки:
Код	Значение
01	Недостаточно ресурсов.
    К примеру, места на диске.
02	Временная ситуация.
    К примеру, файл занят другим процессом
03	Проблема прав доступа.
04	Внутренняя ошибка системы.
05	Ошибка обородования.
06	Системный сбой.
07	Ошибка приложения.
08	Что-то не найдено.
09	Неверный формат.
0Ah	Заблокированно.
0Bh	Ошибка носителя.
0Ch	Коллизия.
    К примеру, такой файл уже существует
0Dh	Иное.
0Eh	Не получается.
0Fh	Время.

Возможные значения рекомендуемого действия:

Код	Значение
01h	Попробовать заново.
02h	Подождать и попробовать заново.
03h	Попросить пользователя повторить ввод.
04h	Отменить действие с откатом внесённых изменений.
05h	Немедленно отменить действие.
06h	Игнорировать.
07h	Попробовать заново после того, как пользователь произведёт требуемые действия.
    К примеру, вставит дискету.

Возможные значения Источника ошибки:

Код	    Значение
01h	    Неизвестно.
02h	    Блочное устройство.
        К примеру, ошибка диска
03h	    Сетевая ошибка.
04h	    Символьное устройство.
        К примеру, принтер.
05h	    Оперативная память.
